TipoLogro,Fecha,Nombre,Institución,País,Descripción,Prioridad,URL
Reconocimiento,2025,"Núcleo académico del programa de Maestría en Cómputo Estadístico del CIMAT Monterrey, como profesor de tiempo parcial externo",CIMAT-Monterrey,,,,
Reconocimiento,2024,Investigador en ciencias médicas A,Secretaría de Salud,México,,,
SNII-1,2020,Sistema Nacional de Investigadores,CONACYT,México,,,
Premio,2019,Publiton: análisis de contratos del gobierno de México,"Article 19, Fundar, Project Poder, CENCOS y SocialTic",México,,,
SNI-C,2017,Sistema Nacional de Investigadores,CONACYT,México,,,
Travel Grant,2017,Travel Fellowship Award ISMB/ECCB 2017,International Society for Computational Biology (ISCB),Czech Republic,,,
Travel Grant,2016,International Workshop in Genotype-Phenotype Maps,"Sainsbury Laboratory, University of Cambridge",United Kingdom,,,
Travel Grant,2015,Analysis and Control of Time-evolving Networks in Epidemiology and Evolutionary Medicine,Freie Universität Berlin,Germany,,,
