excluir,Tipo,NombreEvento,Título,Organizador,Alcance,InstituciónSede,Direccion,Año,FechaInicio,FechaFin,Autores,Financiamento,Proyecto,Etapa,Prioridad,URL,Imagen
,Coordinador,Seminario Impactos de la Inteligencia Artificial en la Sociedad,Seminario Impactos de la Inteligencia Artificial en la Sociedad,UNAM - Centro de Investigaciones Interdisciplinarias en Ciencias y Humanidades,Nacional,UNAM - Centro de Investigaciones Interdisciplinarias en Ciencias y Humanidades,"Torre II de Humanidades 4º, 5º y 6º pisos, Circuito Interior, Ciudad Universitaria Alcaldía Coyoacán, 04510, Ciudad de México",2024,2024/08/19,2024/11/04,"Mariana Esther Martínez Sánchez, Victor Mireles Chavez",No,Colaboracion,,,2024_coordinadora_IAsociedad.pdf,
x,Conversatorio,Exploración de la base de datos del Registro Nacional de Datos de Personas Extraviadas o Desaparecidas con un enfoque de género,Exploración de la base de datos del Registro Nacional de Datos de Personas Extraviadas o Desaparecidas con un enfoque de género,UNAM - Instituto de Geofísica,Nacional,UNAM - Instituto de Geofísica,"Circuito de la, Investigación Científica s/n, C.U., Coyoacán, 04150 CDMX",2024,2024/01/01,2024/MM/DD,Mariana Esther Martínez Sánchez,No,Colaboracion,,,2024_platica_Geofisica_RNPDNO.pdf,
x,ponencia,56 Congreso Nacional de la Sociedad Matemática Mexicana,"Redes Booleanas en el sistema inmune: heterogeneidad, plasticidad y ambiente",Sociedad Matemática Mexicana,Nacional,UASLP,San Luis Potosí,2023,2023/10/23,2023/10/27,Mariana Esther Martinez Sanchez,,,,,2023_platica_SLP_matematicas.pdf,
x,ponencia,Ciclo de Conferencias 2023 -2 del Laboratorio de Tecnociencias del Centro de Estudios Críticos en Cultura Contemporánea,El Grafo de Conocimiento Angelus para arrojar luz sobre las violaciones a los derechos humanos durante la Guerra Sucia en México,Universidad Autónoma de Querétaro y el Centro de Estudios Críticos en Cultura Contemporánea,Nacional,Laboratorio de Tecnociencias del Centro de Estudios Críticos en Cultura ,"Concord Carr. a, Chichimequillas S/N, Ejido Bolaños, 76140 Santiago de Querétaro, Qro.",2023,2023/09/07,2023/9/7,Mariana Esther Martínez Sánchez,,,,,2023_platica_UAQ_Angelus.pdf,
x,ponencia,La presencia intelectual y humana de Germinal Cocho (1933-2019) en las ciencias de la complejidad ,Análisis e redes: de la inmunología a la desaparición forzada,"UACM, Colegio de Ciencias y Humanidades",Nacional,"UACM, Plantel Del Valle",Plantel Del Valle,2023,2023/05/02,2023/05/04,Mariana Esther Martínez Sánchez,,,,,2023_platica_cdmx_Germi.pdf,
,Coordinador,Seminario de Biología Teórica,,UNAM - Centro de Ciencias de la Complejida,Nacional,UNAM - Centro de Ciencias de la Complejida,Online,2023,2023/02/22,2023/06/15,"Mariana Esther Martínez Sánchez, Alejandra Zavala Castillo",,,,,2023_organizadora_Bioteorica.pdf,
x,Conversatorio,Congreso Internacional de Ordenación Territorial Hacia la Sostenibilidad 2022,Ciencia de datos aplicada al análisis territorial: prospectivas y retos,Facultad de Geografía de la UAEMéx,Internacional,UAEMéx,Online,2022,2022/10/12,2022/10/14,Mariana Esther Martínez Sánchez,,,,,2022_platica_online_territorial.pdf,
x,ponencia,IV Congreso Nacional de Divulgación y Difusión en Investigación en Medicina,Prediciendo el comportamiento dinámico de los linfocitos T cooperadores y COVID-19 con redes de regulación,FES Iztacala,Nacional,FES Iztacala,Online,2022,2022/09/28,2022/9/30,Mariana Esther Martínez Sánchez,,,,,2022_platica_FESIztacala_ThCOVID19.pdf,
x,ponencia,Sesión General,Redes en biología: de los genes al sistema inmune y a las personas,INER,Nacional,INER,Auditorio Fernando Rébora Gutiérrez,2022,2022/08/10,2022/08/10,Mariana Esther Martínez Sánchez,,,,,2022_platica_CdMx_INER.pdf,
x,Coordinador,"TechnoLatinas and Beat Special Event CDMX, México",TechnoLatinas and Beat Special Event CDMX, México,Internacional,No especificada,"CDMX, México",2022,2022/05/14,2022/05/14,Mariana Esther Martínez Sánchez,,,,,2022_organizadora_CdMx_TechnoLatinas.png,
x,ponencia,Data Days 2022,Buscando a los desaparecidos de la Guerra Sucia con web semántica y aprendizaje de máquina,Software Guru,Nacional,Escuela de Gobierno y Transformación Pública del Tecnológico de Monterrey,Online,2022,2022/03/28,2022/04/01,Mariana Esther Martínez Sánchez,,,,,2022_platica_CdMx_DataDay.pdf,
